table_name,column_name,data_type,is_nullable,character_maximum_length,numeric_precision,datetime_precision,column_default
element_types,character_octet_length,integer,YES,,32,,
element_types,character_set_catalog,name,YES,,,,
element_types,character_set_name,name,YES,,,,
element_types,character_set_schema,name,YES,,,,
element_types,collation_catalog,name,YES,,,,
element_types,collation_name,name,YES,,,,
element_types,collation_schema,name,YES,,,,
element_types,collection_type_identifier,name,YES,,,,
element_types,data_type,character varying,YES,,,,
element_types,datetime_precision,integer,YES,,32,,
element_types,domain_default,character varying,YES,,,,
element_types,dtd_identifier,name,YES,,,,
element_types,interval_precision,integer,YES,,32,,
element_types,interval_type,character varying,YES,,,,
element_types,maximum_cardinality,integer,YES,,32,,
element_types,numeric_precision,integer,YES,,32,,
element_types,numeric_precision_radix,integer,YES,,32,,
element_types,numeric_scale,integer,YES,,32,,
element_types,object_catalog,name,YES,,,,
element_types,object_name,name,YES,,,,
element_types,object_schema,name,YES,,,,
element_types,object_type,character varying,YES,,,,
element_types,scope_catalog,name,YES,,,,
element_types,scope_name,name,YES,,,,
element_types,scope_schema,name,YES,,,,
element_types,udt_catalog,name,YES,,,,
element_types,udt_name,name,YES,,,,
element_types,udt_schema,name,YES,,,,
enabled_roles,role_name,name,YES,,,,
foreign_data_wrapper_options,foreign_data_wrapper_catalog,name,YES,,,,
foreign_data_wrapper_options,foreign_data_wrapper_name,name,YES,,,,
foreign_data_wrapper_options,option_name,name,YES,,,,
foreign_data_wrapper_options,option_value,character varying,YES,,,,
foreign_data_wrappers,authorization_identifier,name,YES,,,,
foreign_data_wrappers,foreign_data_wrapper_catalog,name,YES,,,,
foreign_data_wrappers,foreign_data_wrapper_language,character varying,YES,,,,
foreign_data_wrappers,foreign_data_wrapper_name,name,YES,,,,
foreign_data_wrappers,library_name,character varying,YES,,,,
foreign_server_options,foreign_server_catalog,name,YES,,,,
foreign_server_options,foreign_server_name,name,YES,,,,
foreign_server_options,option_name,name,YES,,,,
foreign_server_options,option_value,character varying,YES,,,,
foreign_servers,authorization_identifier,name,YES,,,,
foreign_servers,foreign_data_wrapper_catalog,name,YES,,,,
foreign_servers,foreign_data_wrapper_name,name,YES,,,,
foreign_servers,foreign_server_catalog,name,YES,,,,
foreign_servers,foreign_server_name,name,YES,,,,
foreign_servers,foreign_server_type,character varying,YES,,,,
foreign_servers,foreign_server_version,character varying,YES,,,,
foreign_table_options,foreign_table_catalog,name,YES,,,,
foreign_table_options,foreign_table_name,name,YES,,,,
foreign_table_options,foreign_table_schema,name,YES,,,,
foreign_table_options,option_name,name,YES,,,,
foreign_table_options,option_value,character varying,YES,,,,
foreign_tables,foreign_server_catalog,name,YES,,,,
foreign_tables,foreign_server_name,name,YES,,,,
foreign_tables,foreign_table_catalog,name,YES,,,,
foreign_tables,foreign_table_name,name,YES,,,,
foreign_tables,foreign_table_schema,name,YES,,,,
information_schema_catalog_name,catalog_name,name,YES,,,,
key_column_usage,column_name,name,YES,,,,
key_column_usage,constraint_catalog,name,YES,,,,
key_column_usage,constraint_name,name,YES,,,,
key_column_usage,constraint_schema,name,YES,,,,
key_column_usage,ordinal_position,integer,YES,,32,,
key_column_usage,position_in_unique_constraint,integer,YES,,32,,
key_column_usage,table_catalog,name,YES,,,,
key_column_usage,table_name,name,YES,,,,
key_column_usage,table_schema,name,YES,,,,
movies_movie,created_date,timestamp with time zone,YES,,,6,
movies_movie,creator_id,integer,NO,,32,,
movies_movie,genre,character varying,NO,100,,,
movies_movie,id,integer,NO,,32,,
movies_movie,title,character varying,NO,100,,,
movies_movie,updated_date,timestamp with time zone,NO,,,6,
movies_movie,year,integer,NO,,32,,
movies_movie,zzz CONSTRAINT: movies_movie_creator_id_7f30aab0_fk_auth_user_i,FOREIGN KEY,,0,0,0,
movies_movie,zzz CONSTRAINT: movies_movie_pkey,PRIMARY KEY,,0,0,0,
parameters,as_locator,character varying,YES,3,,,
parameters,character_maximum_length,integer,YES,,32,,
parameters,character_octet_length,integer,YES,,32,,
parameters,character_set_catalog,name,YES,,,,
parameters,character_set_name,name,YES,,,,
parameters,character_set_schema,name,YES,,,,
parameters,collation_catalog,name,YES,,,,
parameters,collation_name,name,YES,,,,
parameters,collation_schema,name,YES,,,,
parameters,data_type,character varying,YES,,,,
parameters,datetime_precision,integer,YES,,32,,
parameters,dtd_identifier,name,YES,,,,
parameters,interval_precision,integer,YES,,32,,
parameters,interval_type,character varying,YES,,,,
parameters,is_result,character varying,YES,3,,,
parameters,maximum_cardinality,integer,YES,,32,,
parameters,numeric_precision,integer,YES,,32,,
parameters,numeric_precision_radix,integer,YES,,32,,
parameters,numeric_scale,integer,YES,,32,,
parameters,ordinal_position,integer,YES,,32,,
parameters,parameter_default,character varying,YES,,,,
parameters,parameter_mode,character varying,YES,,,,
parameters,parameter_name,name,YES,,,,
parameters,scope_catalog,name,YES,,,,
parameters,scope_name,name,YES,,,,
parameters,scope_schema,name,YES,,,,
parameters,specific_catalog,name,YES,,,,
parameters,specific_name,name,YES,,,,
parameters,specific_schema,name,YES,,,,
parameters,udt_catalog,name,YES,,,,
parameters,udt_name,name,YES,,,,
parameters,udt_schema,name,YES,,,,
referential_constraints,constraint_catalog,name,YES,,,,
referential_constraints,constraint_name,name,YES,,,,
referential_constraints,constraint_schema,name,YES,,,,
referential_constraints,delete_rule,character varying,YES,,,,
referential_constraints,match_option,character varying,YES,,,,
referential_constraints,unique_constraint_catalog,name,YES,,,,
referential_constraints,unique_constraint_name,name,YES,,,,
referential_constraints,unique_constraint_schema,name,YES,,,,
referential_constraints,update_rule,character varying,YES,,,,
role_column_grants,column_name,name,YES,,,,
role_column_grants,grantee,name,YES,,,,
role_column_grants,grantor,name,YES,,,,
role_column_grants,is_grantable,character varying,YES,3,,,
role_column_grants,privilege_type,character varying,YES,,,,
role_column_grants,table_catalog,name,YES,,,,
role_column_grants,table_name,name,YES,,,,
role_column_grants,table_schema,name,YES,,,,
role_routine_grants,grantee,name,YES,,,,
role_routine_grants,grantor,name,YES,,,,
role_routine_grants,is_grantable,character varying,YES,3,,,
role_routine_grants,privilege_type,character varying,YES,,,,
role_routine_grants,routine_catalog,name,YES,,,,
role_routine_grants,routine_name,name,YES,,,,
role_routine_grants,routine_schema,name,YES,,,,
role_routine_grants,specific_catalog,name,YES,,,,
role_routine_grants,specific_name,name,YES,,,,
role_routine_grants,specific_schema,name,YES,,,,
role_table_grants,grantee,name,YES,,,,
role_table_grants,grantor,name,YES,,,,
role_table_grants,is_grantable,character varying,YES,3,,,
role_table_grants,privilege_type,character varying,YES,,,,
role_table_grants,table_catalog,name,YES,,,,
role_table_grants,table_name,name,YES,,,,
role_table_grants,table_schema,name,YES,,,,
role_table_grants,with_hierarchy,character varying,YES,3,,,
role_udt_grants,grantee,name,YES,,,,
role_udt_grants,grantor,name,YES,,,,
role_udt_grants,is_grantable,character varying,YES,3,,,
role_udt_grants,privilege_type,character varying,YES,,,,
role_udt_grants,udt_catalog,name,YES,,,,
role_udt_grants,udt_name,name,YES,,,,
role_udt_grants,udt_schema,name,YES,,,,
role_usage_grants,grantee,name,YES,,,,
role_usage_grants,grantor,name,YES,,,,
role_usage_grants,is_grantable,character varying,YES,3,,,
role_usage_grants,object_catalog,name,YES,,,,
role_usage_grants,object_name,name,YES,,,,
role_usage_grants,object_schema,name,YES,,,,
role_usage_grants,object_type,character varying,YES,,,,
role_usage_grants,privilege_type,character varying,YES,,,,
routine_privileges,grantee,name,YES,,,,
routine_privileges,grantor,name,YES,,,,
routine_privileges,is_grantable,character varying,YES,3,,,
routine_privileges,privilege_type,character varying,YES,,,,
routine_privileges,routine_catalog,name,YES,,,,
routine_privileges,routine_name,name,YES,,,,
routine_privileges,routine_schema,name,YES,,,,
routine_privileges,specific_catalog,name,YES,,,,
routine_privileges,specific_name,name,YES,,,,
routine_privileges,specific_schema,name,YES,,,,
routines,as_locator,character varying,YES,3,,,
routines,character_maximum_length,integer,YES,,32,,
routines,character_octet_length,integer,YES,,32,,
routines,character_set_catalog,name,YES,,,,
routines,character_set_name,name,YES,,,,
routines,character_set_schema,name,YES,,,,
routines,collation_catalog,name,YES,,,,
routines,collation_name,name,YES,,,,
routines,collation_schema,name,YES,,,,
routines,created,timestamp with time zone,YES,,,2,
routines,data_type,character varying,YES,,,,
routines,datetime_precision,integer,YES,,32,,
routines,dtd_identifier,name,YES,,,,
routines,external_language,character varying,YES,,,,
routines,external_name,character varying,YES,,,,
routines,interval_precision,integer,YES,,32,,
routines,interval_type,character varying,YES,,,,
routines,is_deterministic,character varying,YES,3,,,
routines,is_implicitly_invocable,character varying,YES,3,,,
routines,is_null_call,character varying,YES,3,,,
routines,is_udt_dependent,character varying,YES,3,,,
routines,is_user_defined_cast,character varying,YES,3,,,
routines,last_altered,timestamp with time zone,YES,,,2,
routines,max_dynamic_result_sets,integer,YES,,32,,
routines,maximum_cardinality,integer,YES,,32,,
routines,module_catalog,name,YES,,,,
routines,module_name,name,YES,,,,
routines,module_schema,name,YES,,,,
routines,new_savepoint_level,character varying,YES,3,,,
routines,numeric_precision,integer,YES,,32,,
routines,numeric_precision_radix,integer,YES,,32,,
routines,numeric_scale,integer,YES,,32,,
routines,parameter_style,character varying,YES,,,,
routines,result_cast_as_locator,character varying,YES,3,,,
routines,result_cast_char_max_length,integer,YES,,32,,
routines,result_cast_char_octet_length,integer,YES,,32,,
routines,result_cast_char_set_catalog,name,YES,,,,
routines,result_cast_char_set_name,name,YES,,,,
routines,result_cast_char_set_schema,name,YES,,,,
routines,result_cast_collation_catalog,name,YES,,,,
routines,result_cast_collation_name,name,YES,,,,
routines,result_cast_collation_schema,name,YES,,,,
routines,result_cast_datetime_precision,integer,YES,,32,,
routines,result_cast_dtd_identifier,name,YES,,,,
routines,result_cast_from_data_type,character varying,YES,,,,
routines,result_cast_interval_precision,integer,YES,,32,,
routines,result_cast_interval_type,character varying,YES,,,,
routines,result_cast_maximum_cardinality,integer,YES,,32,,
routines,result_cast_numeric_precision,integer,YES,,32,,
routines,result_cast_numeric_precision_radix,integer,YES,,32,,
routines,result_cast_numeric_scale,integer,YES,,32,,
routines,result_cast_scope_catalog,name,YES,,,,
routines,result_cast_scope_name,name,YES,,,,
routines,result_cast_scope_schema,name,YES,,,,
routines,result_cast_type_udt_catalog,name,YES,,,,
routines,result_cast_type_udt_name,name,YES,,,,
routines,result_cast_type_udt_schema,name,YES,,,,
routines,routine_body,character varying,YES,,,,
routines,routine_catalog,name,YES,,,,
routines,routine_definition,character varying,YES,,,,
routines,routine_name,name,YES,,,,
routines,routine_schema,name,YES,,,,
routines,routine_type,character varying,YES,,,,
routines,schema_level_routine,character varying,YES,3,,,
routines,scope_catalog,name,YES,,,,
routines,scope_name,name,YES,,,,
routines,scope_schema,name,YES,,,,
routines,security_type,character varying,YES,,,,
routines,specific_catalog,name,YES,,,,
routines,specific_name,name,YES,,,,
routines,specific_schema,name,YES,,,,
routines,sql_data_access,character varying,YES,,,,
routines,sql_path,character varying,YES,,,,
routines,to_sql_specific_catalog,name,YES,,,,
routines,to_sql_specific_name,name,YES,,,,
routines,to_sql_specific_schema,name,YES,,,,
routines,type_udt_catalog,name,YES,,,,
routines,type_udt_name,name,YES,,,,
